date,symbol,pnl_usd,cumulative_usd
2023-02-28,XLB,34.63,5145.54
2023-02-28,IWM,113.12,5258.66
2023-03-02,XLE,16.15,5274.81
2023-03-03,EFA,103.38,5378.19
2023-03-03,XLF,19.18,5397.37
2023-03-10,QQQ,57.75,5455.12
2023-03-13,IEF,52.63,5507.75
2023-03-13,KRE,33.52,5541.27
2023-03-14,XLP,46.02,5587.29
2023-03-17,LQD,80.57,5667.86
2023-03-17,EEM,-117.98,5549.88
2023-03-17,SLV,-10.03,5539.85
2023-03-17,XBI,-275.66,5264.19
2023-03-17,XLV,-310.41,4953.78
2023-03-17,GDX,42.42,4996.2
2023-03-17,XLRE,-115.72,4880.48
2023-03-17,DIA,-266.71,4613.77
2023-03-23,IWM,52.98,4666.75
2023-03-28,GDX,28.16,4694.91
2023-03-30,XLK,52.05,4746.96
2023-03-31,SMH,74.5,4821.46
2023-04-04,SLV,13.4,4834.86
2023-04-10,LQD,65.53,4900.39
2023-04-10,XLI,99.13,4999.52
2023-04-12,XLY,43.75,5043.27
2023-04-12,XLC,87.22,5130.49
2023-04-17,GLD,147.15,5277.64
2023-04-20,XLF,14.0,5291.64
2023-04-21,EFA,-0.3,5291.34
2023-04-26,SPY,63.18,5354.52
2023-04-27,EEM,34.79,5389.31
2023-04-27,TLT,19.76,5409.07
2023-04-28,AGG,37.91,5446.98
2023-05-01,IEF,38.79,5485.77
2023-05-02,XLB,33.46,5519.23
2023-05-03,XLE,6.31,5525.54
2023-05-05,HYG,34.98,5560.52
2023-05-08,XLU,35.97,5596.49
2023-05-10,EWZ,11.57,5608.06
2023-05-15,FXI,16.79,5624.85
2023-05-15,SMH,83.87,5708.72
2023-05-16,XLV,78.63,5787.35
2023-05-16,VNQ,24.7,5812.05
2023-05-16,XLRE,13.52,5825.57
2023-05-18,XLP,65.89,5891.46
2023-05-19,XBI,-149.18,5742.28
2023-05-23,DIA,62.85,5805.13
2023-05-30,XLY,110.4,5915.53
2023-06-01,LQD,78.4,5993.93
2023-06-01,GLD,124.5,6118.43
2023-06-02,EFA,76.53,6194.96
2023-06-02,XLI,135.07,6330.03
2023-06-07,XLC,107.07,6437.1
2023-06-12,GDX,39.65,6476.75
2023-06-13,XLB,20.82,6497.57
2023-06-16,XLK,-292.92,6204.65
2023-06-16,KRE,-71.14,6133.51
2023-06-23,IWM,67.48,6200.99
