year,entry_date,exit_date,symbol,structure,exit,holding_days,pop,entry_iv,credit_usd,max_risk_usd,pnl_usd,hold_to_expiry_pnl_usd
2023,2023-10-31,2023-12-15,AGG,iron_condor,expiry,45,0.562554,0.111248,82.73,117.27,-125.27,-125.27
2023,2023-10-31,2023-12-15,EEM,iron_condor,expiry,45,0.548202,0.189516,85.46,114.54,-120.54,-120.54
2023,2023-10-31,2023-12-15,EFA,iron_condor,expiry,45,0.633355,0.177241,129.64,370.36,-312.36,-312.36
2023,2023-10-31,2023-12-04,GLD,iron_condor,target,34,0.517144,0.194326,238.93,261.07,132.71,230.93
2023,2023-10-31,2023-12-15,HYG,iron_condor,expiry,45,0.598692,0.07717,66.12,133.88,-141.88,-141.88
2023,2023-10-31,2023-12-15,IEF,iron_condor,expiry,45,0.516617,0.133589,95.77,104.23,-112.23,-112.23
2023,2023-10-31,2023-12-15,LQD,iron_condor,expiry,45,0.596488,0.143151,167.66,332.34,-340.34,-340.34
2023,2023-10-31,2023-12-08,SLV,iron_condor,target,38,0.511068,0.291781,48.65,51.35,30.83,40.65
2023,2023-10-31,2023-11-03,XBI,short_put_spread,target,3,0.715801,0.400375,117.54,382.46,65.04,113.54
2023,2023-10-31,2023-12-15,XLB,iron_condor,expiry,45,0.544066,0.234613,87.52,112.48,-120.48,-120.48
2023,2023-10-31,2023-12-15,XLC,iron_condor,expiry,45,0.551417,0.322353,212.49,287.51,2.49,2.49
2023,2023-10-31,2023-11-16,XLE,short_call_spread,target,16,0.773122,0.313987,20.95,79.05,7.25,16.95
2023,2023-10-31,2023-12-15,XLF,iron_condor,expiry,45,0.574306,0.209706,40.41,59.59,-67.59,-67.59
2023,2023-10-31,2023-12-15,XLI,iron_condor,expiry,45,0.568348,0.219765,200.36,299.64,-307.64,-307.64
2023,2023-10-31,2023-12-15,XLRE,short_call_spread,expiry,45,0.742995,0.298589,42.4,157.6,-161.6,-161.6
2023,2023-10-31,2023-12-15,XLU,short_call_spread,target,45,0.811365,0.247442,26.19,173.81,22.19,22.19
2023,2023-10-31,2023-12-15,XLV,iron_condor,expiry,45,0.567085,0.158968,199.98,300.02,-308.02,-308.02
2023,2023-10-31,2023-12-15,XLY,iron_condor,expiry,45,0.564471,0.285425,203.16,296.84,-304.84,-304.84
2023,2023-11-01,2023-11-29,FXI,iron_condor,target,28,0.548157,0.291504,43.83,56.17,14.09,35.83
2023,2023-11-01,2023-12-08,GDX,iron_condor,target,37,0.53549,0.330786,90.15,109.85,43.42,-12.85
2023,2023-11-01,2023-11-03,KRE,short_put_spread,target,2,0.690668,0.343194,54.9,145.1,34.34,50.9
2023,2023-11-01,2023-12-15,SMH,iron_condor,expiry,44,0.511974,0.29998,242.17,257.83,-265.83,-265.83
2023,2023-11-01,2023-12-15,XLP,iron_condor,expiry,44,0.533118,0.169603,91.19,108.81,-40.81,-40.81
2023,2023-11-27,2024-01-19,DIA,iron_condor,expiry,53,0.516494,0.1092,239.1,260.9,-268.9,-268.9
2023,2023-11-27,2024-01-02,XLK,iron_condor,target,36,0.590905,0.162804,176.58,323.42,99.91,-239.92
2023,2023-11-28,2024-01-16,TLT,iron_condor,target,49,0.510407,0.226242,97.13,102.87,76.75,89.13
2023,2023-11-29,2023-12-11,IWM,short_put_spread,target,12,0.681161,0.304056,149.57,350.43,72.24,145.57
2023,2023-11-30,2024-01-04,EWZ,short_call_spread,target,35,0.76932,0.221239,20.14,79.86,9.44,16.14
2023,2023-12-01,2024-01-16,VNQ,short_call_spread,target,46,0.748459,0.32145,47.02,152.98,34.66,43.02
2023,2023-12-18,2024-01-08,AGG,iron_condor,target,21,0.583065,0.116226,76.89,123.11,38.33,68.89
2023,2023-12-18,2024-01-08,EEM,iron_condor,target,21,0.582168,0.180249,72.98,127.02,32.53,3.98
2023,2023-12-18,2024-01-04,EFA,iron_condor,target,17,0.642791,0.150584,108.44,391.56,46.7,100.44
2023,2023-12-18,2024-01-08,HYG,iron_condor,target,21,0.631494,0.100736,59.11,140.89,32.08,51.11
2023,2023-12-18,2024-01-08,IEF,iron_condor,target,21,0.542639,0.136657,88.67,111.33,40.01,80.67
2023,2023-12-18,2024-01-17,KRE,short_put_spread,target,30,0.680959,0.581361,60.2,139.8,27.58,56.2
2023,2023-12-18,2024-01-10,SLV,iron_condor,target,23,0.547726,0.499504,44.16,55.84,14.65,36.16
2023,2023-12-18,2024-01-11,SMH,short_put_spread,target,24,0.695351,0.29886,139.24,360.76,76.49,135.24
2023,2023-12-18,2024-01-05,XLB,iron_condor,target,18,0.617002,0.195117,64.02,135.98,25.98,56.02
2023,2023-12-18,2024-01-08,XLC,iron_condor,target,21,0.594617,0.205208,163.74,336.26,73.92,72.74
2023,2023-12-18,2024-01-08,XLI,iron_condor,target,21,0.602175,0.165055,167.12,332.88,95.73,159.12
2023,2023-12-18,2024-01-09,XLP,iron_condor,target,22,0.526306,0.191326,93.25,106.75,39.34,85.25
2023,2023-12-18,2024-01-04,XLRE,short_call_spread,target,17,0.781665,0.308621,34.93,165.07,14.25,30.93
2023,2023-12-18,2024-01-02,XLU,short_put_spread,target,15,0.761629,0.301634,34.59,165.41,17.31,30.59
2023,2023-12-18,2024-01-19,XLV,iron_condor,expiry,32,0.58264,0.166331,187.5,312.5,33.5,33.5
2023,2023-12-18,2024-01-19,XLY,iron_condor,expiry,32,0.599164,0.132095,147.77,352.23,-15.73,-15.73
2023,2023-12-19,2023-12-20,FXI,short_call_spread,target,1,0.809744,0.306157,15.43,84.57,6.52,11.43
2023,2023-12-19,2024-01-19,GDX,short_put_spread,expiry,31,0.699193,0.599181,53.83,146.17,-81.17,-81.17
2023,2023-12-19,2024-01-09,GLD,iron_condor,target,21,0.517291,0.279193,239.32,260.68,115.55,231.32
2023,2023-12-19,2024-01-03,LQD,short_call_spread,target,15,0.754963,0.156347,82.37,417.63,41.16,78.37
2023,2023-12-19,2024-01-16,XBI,short_call_spread,target,28,0.775782,0.44445,94.88,405.12,75.72,90.88
2023,2023-12-20,2024-01-30,XLE,short_put_spread,target,41,0.724176,0.257201,25.49,74.51,12.06,21.49
2023,2023-12-21,2024-02-13,XLF,iron_condor,target,54,0.550259,0.172857,43.47,56.53,22.37,-27.53
2024,2024-01-02,2024-01-18,QQQ,short_put_spread,target,16,0.704066,0.176553,139.65,360.35,79.5,135.65
2024,2024-01-19,2024-03-15,SPY,short_call_spread,expiry,56,0.739448,0.133,121.87,378.13,-382.13,-382.13
2024,2024-01-22,2024-02-29,AGG,iron_condor,target,38,0.58299,0.073585,75.11,124.89,30.89,67.11
2024,2024-01-22,2024-03-15,EEM,iron_condor,expiry,53,0.534528,0.223867,90.36,109.64,5.36,5.36
2024,2024-01-22,2024-03-15,EFA,iron_condor,expiry,53,0.59869,0.174359,165.02,334.98,-31.98,-31.98
2024,2024-01-22,2024-02-06,FXI,short_put_spread,target,15,0.653849,0.426897,32.46,67.54,16.9,28.46
2024,2024-01-22,2024-03-01,GDX,iron_condor,target,39,0.531159,0.3769,91.51,108.49,48.58,83.51
2024,2024-01-22,2024-02-26,GLD,iron_condor,target,35,0.5417,0.134689,221.53,278.47,114.01,-286.47
2024,2024-01-22,2024-02-27,HYG,iron_condor,target,36,0.573804,0.073468,75.74,124.26,30.32,67.74
2024,2024-01-22,2024-03-01,IEF,iron_condor,target,39,0.553034,0.084519,84.72,115.28,37.19,41.72
2024,2024-01-22,2024-03-15,KRE,short_put_spread,expiry,53,0.670903,0.315206,60.88,139.12,-143.12,-143.12
2024,2024-01-22,2024-03-05,LQD,iron_condor,target,43,0.595967,0.103325,161.36,338.64,97.01,134.36
2024,2024-01-22,2024-03-15,SLV,iron_condor,expiry,53,0.561857,0.236444,41.47,58.53,-66.53,-66.53
2024,2024-01-22,2024-02-01,TLT,short_put_spread,target,10,0.701207,0.187137,54.85,145.15,28.99,50.85
2024,2024-01-22,2024-03-11,XBI,iron_condor,target,49,0.524185,0.415897,234.13,265.87,151.13,226.13
2024,2024-01-22,2024-03-15,XLB,iron_condor,expiry,53,0.662983,0.130897,48.6,151.4,-159.4,-159.4
2024,2024-01-22,2024-03-15,XLC,iron_condor,expiry,53,0.627817,0.150179,135.36,364.64,-1.64,-1.64
2024,2024-01-22,2024-03-15,XLI,iron_condor,expiry,53,0.569501,0.158733,197.61,302.39,-214.39,-214.39
2024,2024-01-22,2024-02-26,XLK,iron_condor,target,35,0.538547,0.251622,223.64,276.36,111.46,215.64
2024,2024-01-22,2024-02-20,XLU,iron_condor,target,29,0.641344,0.193052,55.64,144.36,22.64,47.64
2024,2024-01-22,2024-03-15,XLV,iron_condor,expiry,53,0.568836,0.117404,196.54,303.46,52.54,52.54
2024,2024-01-22,2024-03-05,XLY,iron_condor,target,43,0.57819,0.202064,190.51,309.49,98.73,182.51
2024,2024-01-23,2024-03-05,DIA,iron_condor,target,42,0.527545,0.094906,232.12,267.88,112.69,224.12
2024,2024-01-23,2024-02-29,VNQ,short_put_spread,target,37,0.719901,0.219262,51.07,148.93,25.2,47.07
2024,2024-01-23,2024-03-15,XLP,iron_condor,expiry,52,0.61012,0.11333,68.58,131.42,7.58,7.58
2024,2024-01-24,2024-02-21,XLRE,short_put_spread,target,28,0.701302,0.231202,49.41,150.59,20.9,45.41
2024,2024-01-25,2024-02-12,IWM,short_put_spread,target,18,0.699034,0.258304,139.34,360.66,75.86,135.34
2024,2024-02-02,2024-03-05,EWZ,short_call_spread,target,32,0.727862,0.219246,23.99,76.01,10.37,19.99
2024,2024-02-14,2024-02-21,SMH,short_call_spread,target,7,0.755994,0.310773,110.99,389.01,58.93,-177.01
2024,2024-02-29,2024-04-10,XLF,short_call_spread,target,41,0.812585,0.119376,14.25,85.75,7.35,10.25
2024,2024-03-01,2024-04-19,XLE,iron_condor,expiry,49,0.513555,0.178094,48.22,51.78,-59.78,-59.78
2024,2024-03-19,2024-04-19,AGG,iron_condor,expiry,31,0.579773,0.051591,68.28,131.72,-101.72,-101.72
2024,2024-03-19,2024-04-19,DIA,iron_condor,expiry,31,0.53307,0.093538,228.65,271.35,-279.35,-279.35
2024,2024-03-19,2024-04-04,EEM,iron_condor,target,16,0.637411,0.136941,50.35,149.65,17.52,13.35
2024,2024-03-19,2024-04-03,EFA,iron_condor,target,15,0.643174,0.111604,89.11,410.89,37.07,-106.89
2024,2024-03-19,2024-04-08,EWZ,short_put_spread,target,20,0.755433,0.209433,19.89,80.11,11.65,-10.11
2024,2024-03-19,2024-04-12,FXI,short_call_spread,target,24,0.716778,0.334756,25.1,74.9,13.26,21.1
2024,2024-03-19,2024-04-19,GDX,iron_condor,expiry,31,0.544614,0.36768,87.5,112.5,-120.5,-120.5
2024,2024-03-19,2024-03-27,GLD,short_put_spread,target,8,0.724499,0.128759,109.38,390.62,62.47,105.38
2024,2024-03-19,2024-04-08,HYG,iron_condor,target,20,0.624477,0.042853,40.59,159.41,12.66,-69.41
2024,2024-03-19,2024-04-04,IEF,iron_condor,target,16,0.632819,0.061619,52.63,147.37,19.2,-81.37
2024,2024-03-19,2024-04-04,LQD,iron_condor,target,16,0.644074,0.055088,62.54,437.46,24.78,-144.46
2024,2024-03-19,2024-04-01,SMH,short_put_spread,target,13,0.671652,0.478442,157.88,342.12,83.66,-346.12
2024,2024-03-19,2024-04-09,TLT,iron_condor,target,21,0.554152,0.13796,85.39,114.61,39.17,-107.61
2024,2024-03-19,2024-04-10,XLB,iron_condor,target,22,0.578251,0.111766,69.06,130.94,30.15,9.06
2024,2024-03-19,2024-04-10,XLC,iron_condor,target,22,0.602666,0.177532,154.55,345.45,86.06,146.55
2024,2024-03-19,2024-04-12,XLI,short_call_spread,target,24,0.754985,0.093523,64.42,435.58,52.28,60.42
2024,2024-03-19,2024-04-08,XLK,iron_condor,target,20,0.565822,0.25463,202.91,297.09,104.31,-178.59
2024,2024-03-19,2024-04-19,XLP,iron_condor,expiry,31,0.62434,0.079496,55.97,144.03,-8.03,-8.03
2024,2024-03-19,2024-04-08,XLRE,iron_condor,target,20,0.621038,0.156947,57.14,142.86,28.43,-150.86
2024,2024-03-19,2024-04-10,XLU,iron_condor,target,22,0.633726,0.180706,52.14,147.86,26.55,44.14
2024,2024-03-19,2024-04-19,XLV,iron_condor,expiry,31,0.609457,0.110316,154.85,345.15,-353.15,-353.15
2024,2024-03-19,2024-04-08,XLY,iron_condor,target,20,0.605274,0.154723,151.0,349.0,82.79,-269.0
2024,2024-03-21,2024-03-26,VNQ,short_call_spread,target,5,0.739406,0.166069,46.38,153.62,21.94,42.38
2024,2024-03-25,2024-05-01,KRE,iron_condor,target,37,0.510847,0.340244,97.0,103.0,43.32,89.0
2024,2024-03-26,2024-05-17,SLV,short_call_spread,expiry,52,0.749222,0.326329,22.22,77.78,-81.78,-81.78
2024,2024-03-26,2024-05-06,XBI,iron_condor,target,41,0.528281,0.324823,231.17,268.83,132.73,223.17
2024,2024-03-27,2024-04-04,SPY,short_call_spread,target,8,0.731838,0.1278,125.77,374.23,62.92,121.77
2024,2024-04-05,2024-05-07,QQQ,short_put_spread,target,32,0.697248,0.208626,144.75,355.25,69.57,140.75
2024,2024-04-11,2024-05-06,IWM,short_put_spread,target,25,0.690956,0.281752,143.43,356.57,84.24,139.43
2024,2024-04-23,2024-06-03,AGG,iron_condor,target,41,0.525767,0.087258,92.98,107.02,41.79,84.98
2024,2024-04-23,2024-06-21,EEM,iron_condor,expiry,59,0.590684,0.165324,72.52,127.48,-2.48,-2.48
2024,2024-04-23,2024-06-11,EFA,iron_condor,target,49,0.612364,0.146975,150.69,349.31,122.91,142.69
